location,date,iso_code,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million
Africa,2022-05-01,OWID_AFR,42.0,2.0,2.0,0.0,0.29,0.0,0.001,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-02,OWID_AFR,42.0,2.0,0.0,0.0,0.29,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-03,OWID_AFR,42.0,2.0,0.0,0.0,0.29,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-04,OWID_AFR,42.0,2.0,0.0,0.0,0.29,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-05,OWID_AFR,42.0,2.0,0.0,0.0,0.29,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-06,OWID_AFR,42.0,2.0,0.0,0.0,0.29,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-07,OWID_AFR,42.0,2.0,0.0,0.0,0.29,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-08,OWID_AFR,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-09,OWID_AFR,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-10,OWID_AFR,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-11,OWID_AFR,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-12,OWID_AFR,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-13,OWID_AFR,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-14,OWID_AFR,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.00141,0.0
Africa,2022-05-15,OWID_AFR,46.0,2.0,4.0,0.0,0.57,0.0,0.003,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-16,OWID_AFR,46.0,2.0,0.0,0.0,0.57,0.0,0.0,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-17,OWID_AFR,46.0,2.0,0.0,0.0,0.57,0.0,0.0,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-18,OWID_AFR,46.0,2.0,0.0,0.0,0.57,0.0,0.0,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-19,OWID_AFR,46.0,2.0,0.0,0.0,0.57,0.0,0.0,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-20,OWID_AFR,46.0,2.0,0.0,0.0,0.57,0.0,0.0,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-21,OWID_AFR,46.0,2.0,0.0,0.0,0.57,0.0,0.0,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-22,OWID_AFR,58.0,2.0,12.0,0.0,1.71,0.0,0.008,0.041,0.001,0.0,0.00141,0.0
Africa,2022-05-23,OWID_AFR,58.0,2.0,0.0,0.0,1.71,0.0,0.0,0.041,0.001,0.0,0.00141,0.0
Africa,2022-05-24,OWID_AFR,58.0,2.0,0.0,0.0,1.71,0.0,0.0,0.041,0.001,0.0,0.00141,0.0
Africa,2022-05-25,OWID_AFR,58.0,2.0,0.0,0.0,1.71,0.0,0.0,0.041,0.001,0.0,0.00141,0.0
Africa,2022-05-26,OWID_AFR,58.0,2.0,0.0,0.0,1.71,0.0,0.0,0.041,0.001,0.0,0.00141,0.0
Africa,2022-05-27,OWID_AFR,58.0,2.0,0.0,0.0,1.71,0.0,0.0,0.041,0.001,0.0,0.0014,0.0
Africa,2022-05-28,OWID_AFR,58.0,2.0,0.0,0.0,1.71,0.0,0.0,0.041,0.001,0.0,0.0014,0.0
Africa,2022-05-29,OWID_AFR,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0014,0.0
Africa,2022-05-30,OWID_AFR,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0014,0.0
Africa,2022-05-31,OWID_AFR,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0014,0.0
Africa,2022-06-01,OWID_AFR,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0014,0.0
Africa,2022-06-02,OWID_AFR,59.0,2.0,1.0,0.0,0.14,0.0,0.001,0.041,0.0,0.0,0.0014,0.0
Africa,2022-06-03,OWID_AFR,59.0,2.0,0.0,0.0,0.14,0.0,0.0,0.041,0.0,0.0,0.0014,0.0
Africa,2022-06-04,OWID_AFR,59.0,2.0,0.0,0.0,0.14,0.0,0.0,0.041,0.0,0.0,0.0014,0.0
